table,state,period,horizon,n_q1,n_q5,mean_q1,mean_q5,med_q1,med_q5,win_q1,win_q5,mae_q1,mae_q5,spread,tstat,pval,ci_lo,ci_hi,v_n,v_mean,v_median,v_std,v_min,v_max,v_p20,v_p80
event,ratio_rv20_rv60_pct,ALL,20,478,476,0.010638516108440181,0.014417009372861535,0.0012830262780804125,0.018392302255390125,0.5125523012552301,0.6407563025210085,-0.027201849478709295,-0.02683338015007064,-0.0037784932644213537,-0.8414054411291386,0.4003341249236619,-0.012466693887010761,0.005123218553481592,,,,,,,,
event,ratio_rv5_rv20_pct,2010-2017,1,386,354,0.0002896012610046572,0.0004741423683371135,9.836710603972065e-05,0.0008725414286233635,0.5,0.556497175141243,-0.0036002973661425908,-0.003949567824936218,-0.00018454110733245633,-0.25481987297881825,0.7989359855832124,-0.0016505007908023013,0.0012700716563571197,,,,,,,,
event,ratio_rv5_rv20_pct,2010-2017,5,363,331,-0.00025927659149610314,0.0018822518410068784,0.0007782101167315147,0.002580645161290196,0.512396694214876,0.56797583081571,-0.010089862840926944,-0.01125938281901595,-0.0021415284325029815,-1.2516275432135575,0.21118120177445307,-0.005419407241181387,0.0013150357915842834,,,,,,,,
event,ratio_rv5_rv20_pct,2010-2017,20,262,246,0.0009159201214928829,0.002984995961153289,0.007564175616673996,0.004656979597200128,0.5763358778625954,0.532520325203252,-0.02246482208155859,-0.025329684503789474,-0.0020690758396604064,-0.562687018901894,0.5738987851491126,-0.009316735249945552,0.004923894948242998,,,,,,,,
event,ratio_rv5_rv20_pct,2018-2024,1,330,326,3.905137650430421e-05,4.081432839880078e-05,0.0006418759166134658,0.0004164263263840562,0.5303030303030303,0.5122699386503068,-0.005504373206484614,-0.005685054549447732,-1.7629518944965698e-06,-0.0015439550041241184,0.998768661113742,-0.0022881962964933626,0.0021570855417387762,,,,,,,,
event,ratio_rv5_rv20_pct,2018-2024,5,316,304,0.0002416117000908224,0.0032392417038380954,0.0011818440444635314,0.0020495865073643094,0.5316455696202531,0.5296052631578947,-0.013833168371274573,-0.014869859276385955,-0.002997630003747273,-1.2772383696003098,0.20206062936835903,-0.007572458317782989,0.0016130796116023193,,,,,,,,
event,ratio_rv5_rv20_pct,2018-2024,20,230,233,0.0078652325381241,0.005657455462486281,0.005228235786121638,0.0007717041800643365,0.5260869565217391,0.5064377682403434,-0.029493980077520965,-0.0328935142166884,0.00220777707563782,0.43875922460042766,0.6610474554132548,-0.0077912723816499566,0.0118669137779969,,,,,,,,
event,ratio_rv5_rv20_pct,2025-,1,91,81,0.0017589467117069216,0.006812839519134193,0.0026422132421510813,0.007708973648410389,0.5604395604395604,0.5925925925925926,-0.005491362544331357,-0.007324364723467869,-0.005053892807427272,-1.244065090369525,0.21530812061724147,-0.012854048765557582,0.0027461872703752246,,,,,,,,
event,ratio_rv5_rv20_pct,2025-,5,87,69,0.017232808628921487,0.025845663642497144,0.01878217316699904,0.024572649572649485,0.6551724137931034,0.7681159420289855,-0.015054704595185986,-0.01409798417963759,-0.008612855013575657,-1.1262772412064268,0.2618020881847914,-0.023834550625984656,0.00685008942470061,,,,,,,,
event,ratio_rv5_rv20_pct,2025-,20,65,53,0.1035330742886349,0.07134458133643974,0.06822219590193068,0.06855025474756826,0.8307692307692308,0.8679245283018868,-0.013852083835220408,-0.018345818682158677,0.032188492952195155,1.6893175777659617,0.0941799610447358,-0.004662343698577508,0.06878333831817957,,,,,,,,
event,ratio_rv5_rv20_pct,ALL,1,807,761,0.00035283419053227746,0.0009631956248347134,0.00038395085429066,0.0007978723404256094,0.5192069392812887,0.5413929040735874,-0.004512126339537459,-0.004757373929590858,-0.0006103614343024359,-0.8240869030159236,0.4100280927831109,-0.0020243869704565653,0.0008334245251212942,,,,,,,,
event,ratio_rv5_rv20_pct,ALL,5,766,704,0.0019340551504331376,0.004816911404364149,0.0013210892502809601,0.0038679094674815007,0.5365535248041775,0.5710227272727273,-0.012348493202270383,-0.012505138189724152,-0.0028828562539310112,-1.8561090898981518,0.06364891410773592,-0.005835482742295169,5.896989055415674e-05,,,,,,,,
