unit_key,index_names,n_etfs,etfs,first,last,class,reason
fnguide친환경에너지지수(시장가격),FnGuide 친환경에너지 지수 (시장가격),1,381570 HANARO Fn친환경에너지,20210402,20260921,포함,
fnguide코리아ai테크핵심산업지수(pricereturn),FnGuide 코리아AI테크핵심산업지수 (Price Return),1,380340 KINDEX Fn5G플러스,20210402,20260921,포함,
fnguidek-미래차지수,FnGuide K-미래차 지수,1,385520 KODEX 자율주행액티브,20210525,20260921,포함,
fnguidek-신재생에너지플러스지수,FnGuide K-신재생에너지 플러스 지수,1,385510 KODEX 신재생에너지액티브,20210525,20260921,포함,
fnguide퓨처모빌리티지수,FnGuide 퓨처모빌리티 지수,1,387280 TIGER 퓨처모빌리티액티브,20210525,20260921,포함,
mscikoreacountryesgleaderscustomcappedpricereturnindex,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1,385590 네비게이터 ESG액티브,20210525,20260921,제외,수동: ESG 선별 광범위 지수 — 가중치만 다른 시장 전체
fnguide친환경자동차밸류체인지수,FnGuide 친환경 자동차 밸류체인 지수,1,385600 네비게이터 친환경자동차밸류체인액티브,20210525,20260921,포함,
fnguidek엔터&여행레저지수,FnGuide K엔터&여행레저 지수,1,388280 RISE 컨택트대표,20210610,20260921,포함,
iselect비메모리반도체지수(시장가격지수),iSelect 비메모리반도체 지수(시장가격지수),1,388420 RISE 비메모리반도체액티브,20210610,20260921,포함,
fnguide한화esg가치지수,FnGuide 한화 ESG 가치 지수,1,395750 PLUS ESG가치주액티브,20210730,20260921,포함,
fnguide한화esg성장지수,FnGuide 한화 ESG 성장 지수,1,395760 PLUS ESG성장주액티브,20210730,20260921,포함,
fnguidek-pop&미디어지수,FnGuide K-POP & 미디어 지수,1,395290 HANARO Fn K-POP&미디어,20210730,20260921,포함,
fnguidek-게임지수,FnGuide K-게임 지수,1,395280 HANARO Fn K-게임,20210730,20260921,포함,
fnguidek-반도체지수,FnGuide K-반도체 지수,1,395270 HANARO Fn K-반도체,20210730,20260921,포함,
fnguidetop10동일가중지수,FnGuide TOP10 동일가중 지수,1,395170 KODEX Top10동일가중,20210730,20260921,포함,
fnguideai반도체top2+지수,FnGuide AI반도체 TOP2+ 지수,1,395160 KODEX 시스템반도체,20210730,20260921,포함,
fnguide웹툰&드라마지수,FnGuide 웹툰&드라마 지수,1,395150 KODEX 웹툰&드라마,20210730,20260921,포함,
fnguide반도체top10지수,FnGuide 반도체TOP10 지수,1,396500 TIGER 반도체TOP10,20210810,20260921,포함,
fnguidek-메타버스mz지수(시장가격),FnGuide K-메타버스 MZ 지수(시장가격),1,402460 HANARO Fn K-메타버스MZ,20211013,20260921,포함,
iselect메타버스지수(시장가격지수),iSelect 메타버스 지수(시장가격지수),1,401170 RISE 메타버스,20211013,20260921,포함,
fnguidek-메타버스지수,FnGuide K-메타버스 지수,1,401470 KODEX 메타버스액티브,20211013,20260921,포함,
fnguide메타버스테마지수,FnGuide 메타버스테마 지수,1,400970 TIGER Fn메타버스,20211013,20260921,포함,
krx기후변화솔루션지수,KRX 기후변화 솔루션지수,6,403990 KBSTAR KRX기후변화솔루션 | 404120 TIMEFOLIO 탄소중립액티브 | 404260 KODEX 기후변화솔루션 | 404470 HANARO KRX기후변화솔루션 | 404540 TIGER KRX기후변화솔루션 | 404650 SOL KRX기후변화솔루션,20211029,20260921,포함,
fnguide스마트커머스지수,FnGuide 스마트커머스 지수,1,407170 MASTER 스마트커머스액티브,20211116,20250917,포함,
fnguidetmt지수,FnGuide TMT 지수,1,407160 MASTER 테크미디어텔레콤액티브,20211116,20250917,포함,
fnguide플랫폼지수(pricereturn),FnGuide 플랫폼 지수(Price Return),1,407820 에셋플러스 코리아플랫폼액티브,20211116,20260921,포함,
코스피200top10지수,코스피 200 Top 10 지수,2,407310 HANARO 200 TOP10 | 411540 SOL 200 Top10,20211124,20260921,포함,
fnguide골프테마지수,FnGuide 골프 테마 지수,1,407300 HANARO Fn골프테마,20211124,20260921,포함,
fnguidek-컬처지수,FnGuide K-컬처 지수,1,410870 TIMEFOLIO K컬처액티브,20211215,20260921,포함,
mk-iselectaiesg지수(시장가격지수),MK-iSelect AI ESG 지수(시장가격지수),1,413930 WOORI AI ESG액티브,20220105,20260921,포함,
kedi혁신기업esg30지수(시장가격지수),KEDI 혁신기업ESG30 지수(시장가격 지수),1,417630 TIGER KEDI혁신기업ESG30,20220208,20260921,포함,
iselect우주항공uam지수,iSelect 우주항공UAM 지수,1,421320 PLUS 우주항공&UAM,20220329,20260921,포함,
fnguidemz소비지수,FnGuide MZ 소비 지수,1,422260 VITA MZ소비액티브,20220329,20260624,포함,
iselect2차전지지수(시장가격지수),iSelect 2차전지 지수 (시장가격지수),1,422420 RISE 2차전지액티브,20220408,20260921,포함,
fnguide창업투자회사지수(시장가격지수),FnGuide 창업투자회사 지수(시장가격지수),1,427110 RISE 창업투자회사,20220517,20250121,포함,
fnguideai플랫폼지수,FnGuide AI 플랫폼 지수,1,427120 RISE 플랫폼테마,20220517,20260921,포함,
iselect원자력지수(시장가격),iSelect 원자력지수 (시장가격),1,434730 HANARO 원자력iSelect,20220628,20260921,포함,
deepsearch원자력top10지수,DeepSearch 원자력 TOP 10지수,1,433500 KINDEX 원자력테마딥서치,20220628,20260921,포함,
fnguidek-유니콘투자기업지수,FnGuide K-유니콘 투자기업 지수,1,436180 PLUS K-유니콘투자기업액티브,20220713,20240826,포함,
fnguidek-푸드지수(시장가격),FnGuide K-푸드 지수 (시장가격),1,438900 HANARO Fn K-푸드,20220817,20260921,포함,
fnguide조선해운지수,FnGuide 조선해운지수,1,441540 HANARO Fn조선해운,20220915,20260921,포함,
fnguide대장장이지수(pricereturn),FnGuide 대장장이 지수(Price Return),1,442090 에셋플러스 코리아대장장이액티브,20220920,20260921,포함,
kedi메가테크지수(pr),KEDI 메가테크지수(PR),1,444200 SOL 코리아메가테크액티브,20221018,20260921,포함,
mkf배당귀족지수(시장가격지수),MKF 배당귀족 지수(시장가격지수),1,445910 TIGER MKF배당귀족,20221018,20260921,포함,
fnguide주주가치지수,FnGuide 주주가치 지수,1,445690 BNK 주주가치액티브,20221027,20260921,포함,
iselect배터리리사이클링지수,iSelect 배터리 리사이클링 지수,1,446700 RISE 배터리 리사이클링,20221101,20260921,포함,
fnguide올라운드가치주지수,FnGuide 올라운드 가치주 지수,1,447430 ACE 차세대가치주액티브,20221115,20260921,포함,
iselectk-로봇테마지수,iSelect K-로봇테마 지수,1,445290 KODEX 로봇액티브,20221115,20260921,포함,
fnguidek-친환경선박지수,FnGuide K-친환경 선박 지수,1,445150 KODEX 친환경조선해운액티브,20221115,20260921,포함,
fnguidesk그룹대표주지수,FnGuide SK그룹대표주 지수,1,450120 KOSEF SK그룹대표주,20221223,20250602,포함,
fnguidek-방위산업지수,FnGuide K-방위산업 지수,1,449450 PLUS K방산,20230105,20260921,포함,
fnguide밸류알파지수,FnGuide 밸류알파지수,1,452440 VITA 밸류알파액티브,20230221,20260528,포함,
iselectcapex설비투자지수(시장가격),iSelect CAPEX 설비투자 지수(시장가격),1,454320 HANARO CAPEX설비투자iSelect,20230418,20260921,포함,
fnguide2차전지소부장지수(pr),FnGuide 2차전지 소부장 지수(PR),1,455860 SOL 2차전지소부장Fn,20230425,20260921,포함,
fnguideai반도체소부장지수,FnGuide AI 반도체 소부장 지수,1,455850 SOL 반도체소부장Fn,20230425,20260921,포함,
fnguide태양광&ess지수,FnGuide 태양광 & ESS 지수,1,457990 PLUS 태양광&ESS,20230620,20260921,포함,
iselect미래전략기술지수(pr),iSelect 미래전략기술 지수 (PR),1,457930 BNK 미래전략기술액티브,20230620,20260921,포함,
fnguide유전자혁신기술지수(시장가격),FnGuide 유전자혁신기술 지수(시장가격),1,460280 KOSEF Fn유전자혁신기술,20230627,20260325,포함,
fnguide2차전지핵심소재10지수,FnGuide 2차전지핵심소재10 지수,1,461950 KODEX 2차전지핵심소재10 Fn,20230704,20260921,포함,
fnguide2차전지소재(pricereturn)지수,FnGuide 2차전지소재 (Price Return) 지수,1,462010 TIGER 2차전지소재Fn,20230713,20260921,포함,
iselectk방산&우주,iSelect K방산&우주,1,463250 TIGER 우주방산,20230725,20260921,포함,
iselect바이오헬스케어pr지수,iSelect 바이오헬스케어 PR 지수,1,462900 KoAct 바이오헬스케어액티브,20230803,20260921,포함,
fnguide의료기기소부장지수(pr),FnGuide 의료기기소부장지수(PR),1,464610 SOL 의료기기소부장Fn,20230822,20260921,포함,
fnguide자동차소부장지수(pr),FnGuide 자동차소부장지수(PR),1,464600 SOL 자동차소부장Fn,20230822,20260921,포함,
iselect2차전지top10지수(pr),iSelect 2차전지 TOP10 지수(PR),1,465330 RISE 2차전지TOP10,20230912,20260921,포함,
fnguide자동차top3플러스지수(pr),FnGuide 자동차TOP3플러스지수(PR),1,466930 SOL 자동차TOP3플러스,20231005,20260921,포함,
fnguide조선top3플러스지수(pr),FnGuide 조선TOP3플러스지수(PR),1,466920 SOL 조선TOP3플러스,20231005,20260921,포함,
fnguideai반도체top3+지수,FnGuide AI반도체 TOP3+ 지수,1,469150 ACE AI반도체포커스,20231017,20260921,포함,
fnguide포스코그룹포커스지수(시장가격),FnGuide 포스코그룹포커스 지수(시장가격),1,469170 ACE 포스코그룹포커스,20231017,20260921,포함,
fnguide은행고배당플러스top10지수(시장가격지수),FnGuide 은행고배당플러스TOP10 지수(시장가격 지수),1,466940 TIGER 은행고배당플러스TOP10,20231017,20260921,포함,
iselect2차전지양극재지수,iSelect 2차전지양극재 지수,1,466810 BNK 2차전지양극재,20231019,20260921,포함,
iselectai&로봇지수(시장가격),iSelect AI&로봇 지수(시장가격),1,469070 RISE AI&로봇,20231024,20260921,포함,
solactivek-techtop10index(pr),Solactive K-TechTOP10 Index(PR),1,469790 KOSEF K-테크TOP10,20231031,20260921,포함,
iselectai반도체핵심장비지수,iSelect AI 반도체핵심장비 지수,1,471990 KODEX AI반도체핵심장비,20231121,20260921,포함,
iselectai반도체핵심공정지수,iSelect AI반도체핵심공정지수,1,471760 TIGER AI반도체핵심공정,20231121,20260921,포함,
iselectai지수,iSelect AI 지수,1,470310 UNICORN 생성형AI강소기업액티브,20231121,20260921,포함,
iselectk-메디테크지수(pr),iSelect K-메디테크 지수(PR),1,473380 HANARO K-메디테크,20231221,20250325,포함,
fnguide반도체밸류체인(pricereturn)지수,FnGuide 반도체 밸류체인 (Price Return) 지수,1,474590 WOORI 반도체밸류체인액티브,20240116,20260921,포함,
iselectk-pop포커스지수(시장가격),iSelect K-POP 포커스지수(시장가격),1,475050 ACE KPOP포커스,20240130,20260921,포함,
fnguide반도체전공정지수(pr),FnGuide 반도체 전공정 지수(PR),1,475300 SOL 반도체전공정,20240214,20260921,포함,
fnguide반도체후공정지수(pr),FnGuide 반도체 후공정 지수(PR),1,475310 SOL 반도체후공정,20240214,20260921,포함,
fnguide반도체핵심공정지수,FnGuide 반도체 핵심공정 지수,1,476260 HANARO 반도체핵심공정주도주,20240227,20260921,포함,
iselect포스트ipo지수,iSelect 포스트 IPO 지수,1,476000 UNICORN 포스트IPO액티브,20240227,20260921,포함,
fnguidek-뷰티지수,FnGuide K-뷰티 지수,1,479850 HANARO K-뷰티,20240416,20260921,포함,
iselect반도체&2차전지핵심소재지수,iSelect 반도체&2차전지핵심소재 지수,1,482030 KoAct 테크핵심소재공급망액티브,20240514,20260921,포함,
fnguide의료ai지수,FnGuide 의료AI 지수,1,483020 KOSEF 의료AI,20240528,20260921,포함,
