symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-SOL,2024-01-27 00:00:00,2024-03-01 00:00:00,127113.525,191026.5420030234,13842,882482133.9521217,TARGET,35
KRW-XRP,2024-03-03 00:00:00,2024-03-03 00:00:00,897.8487,827.4816489745238,1996005,-142174869.6837082,STOP,1
KRW-ADA,2024-01-09 00:00:00,2024-03-04 00:00:00,726.363,1098.779243384591,3083719,1145612932.7268734,TARGET,56
KRW-DOT,2024-02-29 00:00:00,2024-03-05 00:00:00,11725.86,14962.82830286697,134723,434296290.5900333,TARGET,6
KRW-XRP,2024-04-05 00:00:00,2024-04-13 00:00:00,862.431,769.023670556393,3297008,-310654171.9844389,STOP,9
KRW-ETH,2024-04-08 00:00:00,2024-04-13 00:00:00,4949473.5,4528583.173114266,459,-195363874.04703164,STOP,6
KRW-DOGE,2024-04-15 00:00:00,2024-04-30 00:00:00,244.7223,190.0798551145379,11205719,-614744018.244879,STOP,16
KRW-ETH,2024-05-30 00:00:00,2024-06-18 00:00:00,5237617.5,4789737.390432263,500,-226446893.50647688,STOP,20
KRW-BTC,2024-06-18 00:00:00,2024-06-23 00:00:00,93635794.5,89349022.07728806,22,-96321826.2820127,STOP,6
KRW-SOL,2024-07-23 00:00:00,2024-08-01 00:00:00,249924.9,223725.28215186356,8178,-216197230.356879,STOP,10
KRW-BTC,2024-07-30 00:00:00,2024-08-02 00:00:00,93651802.5,87503837.76201637,17,-106055223.4879489,STOP,4
KRW-XRP,2024-07-22 00:00:00,2024-08-04 00:00:00,834.417,741.8846746837081,3061875,-285735632.92290735,STOP,14
KRW-SOL,2024-08-10 00:00:00,2024-08-30 00:00:00,219909.9,183121.91958977,8852,-327431021.4248605,STOP,21
KRW-XRP,2024-08-08 00:00:00,2024-09-06 00:00:00,854.7271499999999,726.1340048223085,2846924,-368345207.0230198,STOP,30
KRW-DOGE,2024-10-06 00:00:00,2024-10-19 00:00:00,148.074,197.69351309810025,12436283,614932275.8876343,TARGET,14
