symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-XRP,2024-03-12 00:00:00,2024-03-15 00:00:00,1006.503,894.2563278089983,1423937,-161185470.4271195,STOP,4
KRW-DOT,2024-03-07 00:00:00,2024-03-19 00:00:00,14937.465,12870.093822851433,119933,-249613549.36510968,STOP,13
KRW-DOGE,2024-03-29 00:00:00,2024-04-03 00:00:00,313.9569,258.9474185639969,6484261,-358553265.6704972,STOP,6
KRW-SOL,2024-03-14 00:00:00,2024-04-13 00:00:00,233416.65,205155.3865585373,7888,-224654574.13844466,STOP,31
KRW-DOGE,2024-05-22 00:00:00,2024-06-07 00:00:00,234.91740000000001,203.8852136908153,4742381,-148206935.3300966,STOP,17
KRW-SOL,2024-05-16 00:00:00,2024-06-18 00:00:00,220610.25,191461.45651250734,10368,-304350870.6048844,STOP,34
KRW-BTC,2024-05-21 00:00:00,2024-06-18 00:00:00,97308630.0,90711164.94136797,18,-120446549.20984888,STOP,29
KRW-ETH,2024-05-21 00:00:00,2024-07-04 00:00:00,4994496.0,4562174.836923665,366,-159978416.44909525,STOP,45
KRW-DOGE,2024-07-21 00:00:00,2024-08-01 00:00:00,187.99395,166.91855794421517,6879038,-146199151.13105392,STOP,12
KRW-BTC,2024-07-16 00:00:00,2024-08-03 00:00:00,91207581.0,85015748.65512879,23,-144438712.2230718,STOP,19
KRW-SOL,2024-07-16 00:00:00,2024-08-03 00:00:00,224061.975,198609.01331339078,9554,-245196695.26503754,STOP,19
KRW-XRP,2024-09-30 00:00:00,2024-10-01 00:00:00,839.4195,779.8996930405684,2422861,-146169911.66921997,STOP,2
KRW-DOGE,2024-10-29 00:00:00,2024-11-03 00:00:00,225.01245,200.84557313469034,5739719,-139933235.00782228,STOP,6
KRW-BTC,2024-10-15 00:00:00,2024-11-06 00:00:00,88684320.0,102230067.1701687,22,295906379.48483944,TARGET,23
KRW-SOL,2024-10-20 00:00:00,2024-11-07 00:00:00,218058.975,268640.2247574752,7403,372651474.8666866,TARGET,19
KRW-DOGE,2024-11-07 00:00:00,2024-11-10 00:00:00,271.53569999999996,390.23890469112723,6308188,746714832.0841038,TARGET,4
KRW-ADA,2024-11-08 00:00:00,2024-11-10 00:00:00,560.28,721.8960260849799,1948787,313705866.6403966,TARGET,3
KRW-BTC,2024-11-07 00:00:00,2024-11-11 00:00:00,104137042.5,122787651.84594522,16,296594351.9803562,TARGET,5
