symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-BTC,2024-11-07 00:00:00,2024-11-11 00:00:00,104137042.5,122787651.84594522,25,463428674.96930647,TARGET,5
KRW-DOT,2024-11-10 00:00:00,2024-11-11 00:00:00,6421.209,8014.3906246925935,99841,158344214.23986888,TARGET,2
KRW-BTC,2024-11-11 00:00:00,2024-11-13 00:00:00,111495720.0,130754302.38057587,13,248786945.80201244,TARGET,3
KRW-SOL,2024-11-07 00:00:00,2024-11-17 00:00:00,257528.7,334159.3352618975,10282,784874323.5735483,TARGET,11
KRW-ADA,2024-11-16 00:00:00,2024-11-22 00:00:00,995.4975,1431.2107060033475,2381935,1034950404.7362504,TARGET,7
KRW-ETH,2024-11-08 00:00:00,2024-11-27 00:00:00,3982990.5,4964449.100081119,268,261831947.91532898,TARGET,20
KRW-XRP,2024-11-23 00:00:00,2024-12-01 00:00:00,2040.0195,2903.178554342099,1600267,1377329732.0544538,TARGET,9
KRW-XRP,2024-12-01 00:00:00,2024-12-02 00:00:00,2704.3515,3877.8862847720993,542280,634599735.1332507,TARGET,2
KRW-ADA,2024-11-23 00:00:00,2024-12-03 00:00:00,1412.706,1200.416118993001,2310867,-493592969.28887606,STOP,11
KRW-DOT,2024-11-24 00:00:00,2024-12-03 00:00:00,11885.94,10132.514762561732,164795,-290769977.6299379,STOP,10
KRW-ETH,2024-11-28 00:00:00,2024-12-03 00:00:00,5073535.5,4516131.772546979,361,-202953680.5532353,STOP,6
KRW-DOGE,2024-12-09 00:00:00,2024-12-19 00:00:00,651.3255,522.4413819530204,4589468,-594203018.256927,STOP,11
KRW-DOGE,2025-01-05 00:00:00,2025-01-08 00:00:00,581.1904499999999,498.7301092481715,3320457,-275598930.5619936,STOP,4
KRW-ADA,2025-01-04 00:00:00,2025-01-09 00:00:00,1605.8025,1345.9170341797226,1502222,-392622733.2465062,STOP,6
KRW-ETH,2024-12-05 00:00:00,2025-01-13 00:00:00,5405701.5,4658805.266931038,690,-518830655.6521745,STOP,40
KRW-DOGE,2025-01-18 00:00:00,2025-01-20 00:00:00,608.40405,529.3522685508401,4051960,-322619727.9069953,STOP,3
KRW-SOL,2025-01-19 00:00:00,2025-01-27 00:00:00,390195.0,344676.71129430964,5054,-231906451.93299985,STOP,9
KRW-XRP,2025-01-12 00:00:00,2025-02-03 00:00:00,3853.926,3370.2874995765565,591265,-288094230.25028086,STOP,23
KRW-BTC,2024-12-12 00:00:00,2025-02-09 00:00:00,143182555.5,147505210.5,16,66836977.87200022,TIME_EXIT,60
KRW-ADA,2025-03-03 00:00:00,2025-03-03 00:00:00,1726.863,1450.4441091408482,1867011,-519043143.50340796,STOP,1
KRW-DOT,2025-04-25 00:00:00,2025-05-06 00:00:00,6128.0625,5462.737336481943,163989,-110056390.07735503,STOP,12
KRW-DOGE,2025-04-23 00:00:00,2025-05-11 00:00:00,256.02795000000003,352.4189954333778,12187403,1171048822.2238264,TARGET,19
KRW-XRP,2025-05-11 00:00:00,2025-05-28 00:00:00,3418.7085,3125.362385184496,230055,-68238488.55762649,STOP,18
KRW-ADA,2025-04-24 00:00:00,2025-06-05 00:00:00,1001.5005,876.9188154795517,1254293,-157439978.92144203,STOP,43
KRW-ETH,2025-05-09 00:00:00,2025-06-11 00:00:00,3098548.5,3938250.5238314276,317,265070208.9092852,TARGET,34
KRW-ETH,2025-06-11 00:00:00,2025-06-13 00:00:00,3848923.5,3502727.194953659,480,-167938622.58903265,STOP,3
KRW-BTC,2025-04-23 00:00:00,2025-06-21 00:00:00,133922928.0,142710609.0,23,198935377.32450008,TIME_EXIT,60
KRW-SOL,2025-04-23 00:00:00,2025-06-21 00:00:00,213256.575,186416.67174363445,14631,-395618434.18043756,STOP,60
KRW-XRP,2025-07-10 00:00:00,2025-07-11 00:00:00,3260.6295,3927.4884779690665,1002074,664640530.4220467,TARGET,2
KRW-ETH,2025-07-10 00:00:00,2025-07-17 00:00:00,3752875.5,4647773.883308324,870,774907310.9965024,TARGET,8
KRW-ADA,2025-07-10 00:00:00,2025-07-17 00:00:00,845.4225,1088.0838873005787,3864806,934102872.0642614,TARGET,8
KRW-DOGE,2025-07-10 00:00:00,2025-07-18 00:00:00,244.82235,322.1437724862785,13345982,1028146952.8836126,TARGET,9
KRW-ADA,2025-07-18 00:00:00,2025-08-01 00:00:00,1117.5585,1001.2594906702545,2037984,-239174578.81182122,STOP,15
KRW-ETH,2025-07-21 00:00:00,2025-08-02 00:00:00,5129563.5,4734272.378427957,522,-208916426.6248765,STOP,13
KRW-SOL,2025-08-14 00:00:00,2025-08-19 00:00:00,275037.45,248227.93208572207,8864,-239958678.96556377,STOP,6
KRW-ETH,2025-08-09 00:00:00,2025-08-24 00:00:00,5494746.0,6837221.827377891,554,740315653.2791677,TARGET,16
KRW-XRP,2025-07-17 00:00:00,2025-09-01 00:00:00,4127.0625,3765.665516994909,190648,-69651978.42144656,STOP,47
KRW-ADA,2025-08-14 00:00:00,2025-09-01 00:00:00,1232.616,1096.1730540464089,1978054,-272194750.2670407,STOP,19
KRW-DOT,2025-07-10 00:00:00,2025-09-07 00:00:00,4912.455,5562.2175,665124,428689155.0140543,TIME_EXIT,60
KRW-ADA,2025-09-13 00:00:00,2025-09-22 00:00:00,1273.6365,1160.9949244322938,1734478,-197485742.0294175,STOP,10
KRW-DOT,2025-09-13 00:00:00,2025-09-25 00:00:00,5997.9975,5504.457418776215,368305,-183891485.44455624,STOP,13
KRW-BTC,2025-09-12 00:00:00,2025-10-05 00:00:00,160475197.5,178307048.2391064,17,300261813.47602606,TARGET,24
KRW-DOGE,2025-09-09 00:00:00,2025-10-10 00:00:00,336.168,301.8738770604292,10243058,-354544440.3057332,STOP,32
KRW-SOL,2025-08-29 00:00:00,2025-10-27 00:00:00,298749.3,293853.0,8901,-46219342.83615017,TIME_EXIT,60
KRW-ADA,2025-12-10 00:00:00,2025-12-12 00:00:00,696.348,607.2799124226518,5570338,-499770176.86864424,STOP,3
KRW-ETH,2025-12-10 00:00:00,2025-12-15 00:00:00,4914456.0,4383499.8248638,789,-422592465.7553706,STOP,6
KRW-XRP,2026-01-05 00:00:00,2026-01-19 00:00:00,3024.5115,2800.11875930911,977219,-222126819.3438964,STOP,15
KRW-DOGE,2026-01-05 00:00:00,2026-01-19 00:00:00,217.1085,194.35346879177976,13613522,-312576841.24594784,STOP,15
