symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-BTC,2024-01-09 00:00:00,2024-01-12 00:00:00,63042505.5,58662928.61514464,34,-150974606.46503973,STOP,4
KRW-ETH,2024-01-11 00:00:00,2024-01-22 00:00:00,3529764.0,3213353.8040361213,613,-196026215.73279452,STOP,12
KRW-ETH,2024-02-07 00:00:00,2024-02-15 00:00:00,3250624.5,3876292.0297317416,776,482752759.45829535,TARGET,9
KRW-BTC,2024-02-09 00:00:00,2024-02-15 00:00:00,62042005.5,71692048.94349252,32,306661645.32066464,TARGET,7
KRW-DOGE,2024-02-20 00:00:00,2024-02-28 00:00:00,123.96195,151.12526917827623,10156290,274481614.15050125,TARGET,9
KRW-SOL,2024-02-11 00:00:00,2024-03-01 00:00:00,147423.675,193690.68989911646,11011,507568095.9182193,TARGET,20
KRW-ADA,2024-02-15 00:00:00,2024-03-01 00:00:00,781.9908,1005.7381434949764,1660745,370102801.02043223,TARGET,16
KRW-DOT,2024-02-16 00:00:00,2024-03-03 00:00:00,10705.35,13481.726056992271,196006,541815959.4120133,TARGET,17
KRW-XRP,2024-02-16 00:00:00,2024-03-04 00:00:00,772.48605,923.6737622653166,2716321,408370700.50953054,TARGET,18
KRW-DOGE,2024-03-28 00:00:00,2024-04-13 00:00:00,274.03695,222.8240052323813,11323187,-582706775.1789656,STOP,17
KRW-DOGE,2024-05-22 00:00:00,2024-06-07 00:00:00,234.91740000000001,203.8852136908153,6149643,-192186107.02180648,STOP,17
KRW-SOL,2024-05-18 00:00:00,2024-06-11 00:00:00,234667.275,206036.8605805548,12726,-367154854.31655884,STOP,25
KRW-BTC,2024-05-21 00:00:00,2024-06-18 00:00:00,97308630.0,90711164.94136797,24,-160595398.94646502,STOP,29
KRW-ETH,2024-05-21 00:00:00,2024-07-04 00:00:00,4994496.0,4562174.836923665,478,-208933560.2805128,STOP,45
